NODE_ID,NODE_TYPE,NODE_NAME,DOMAIN,SOURCE_TABLE,SOURCE_ID,PROPERTIES
70,industry,Manufacturing,shared,,0,"{""account_count"":5,""description"":""Industrial manufacturing production and supply chain""}"
71,industry,Retail,shared,,0,"{""account_count"":5,""description"":""Brick-and-mortar ecommerce and omnichannel retail""}"
72,industry,Education,shared,,0,"{""account_count"":4,""description"":""Universities K-12 edtech and learning organizations""}"
73,person,rachel.sales,sales,,0,"{""role"":""Account Executive"",""accounts"":""Strategic tier""}"
74,person,david.hunter,sales,,0,"{""role"":""Account Executive"",""accounts"":""Growth and Strategic tier""}"
75,person,carlos.rivera,sales,,0,"{""role"":""Account Executive"",""accounts"":""Growth and Develop tier""}"
76,person,sarah.connors,sales,,0,"{""role"":""Account Executive"",""accounts"":""Strategic and Growth tier""}"
77,person,sarah.marketing,marketing,,0,"{""role"":""Marketing Manager"",""campaigns"":""Product Launch Seasonal Promotional""}"
78,person,john.campaigns,marketing,,0,"{""role"":""Campaign Manager"",""campaigns"":""Lead Nurturing Retention Customer Acquisition""}"
79,person,michael.brand,marketing,,0,"{""role"":""Brand Manager"",""campaigns"":""Brand Building Lead Generation""}"
80,person,emily.digital,marketing,,0,"{""role"":""Digital Marketing Specialist"",""campaigns"":""Seasonal App Promotion Promotional""}"
81,product_line,Platform,sales,,0,"{""description"":""Enterprise data platform and infrastructure""}"
82,product_line,Analytics,sales,,0,"{""description"":""Business intelligence and analytics solutions""}"
83,product_line,Integration,sales,,0,"{""description"":""Data integration and pipeline services""}"
84,product_line,AI Services,sales,,0,"{""description"":""ML pipeline predictive models and AI capabilities""}"
85,lead_source,Inbound,sales,,0,"{""description"":""Leads from website content marketing and SEO""}"
86,lead_source,Outbound,sales,,0,"{""description"":""Leads from sales prospecting and cold outreach""}"
87,lead_source,Referral,sales,,0,"{""description"":""Leads from customer and partner referrals""}"
88,lead_source,Trade Show,sales,,0,"{""description"":""Leads from industry events and trade shows""}"
89,lead_source,Webinar,sales,,0,"{""description"":""Leads from educational webinars and online events""}"
90,lead_source,Upsell,sales,,0,"{""description"":""Expansion opportunities within existing accounts""}"
