EDGE_ID,SOURCE_NODE_ID,TARGET_NODE_ID,RELATIONSHIP_TYPE,WEIGHT,PROPERTIES
19,34,2,TARGETED_BY,0.88,"{""reason"":""B2B Decision Makers matches Manufacturing Enterprise account""}"
20,40,2,TARGETED_BY,0.92,"{""reason"":""B2B Decision Makers matches Financial Services Enterprise account""}"
21,26,19,TARGETED_BY,0.80,"{""reason"":""B2B Professionals matches Technology Enterprise account""}"
22,28,19,TARGETED_BY,0.82,"{""reason"":""B2B Professionals matches Financial Services Enterprise account""}"
23,38,19,TARGETED_BY,0.84,"{""reason"":""B2B Professionals matches Technology Enterprise account""}"
24,30,23,TARGETED_BY,0.88,"{""reason"":""West Coast Residents matches West region Retail account""}"
25,32,23,TARGETED_BY,0.85,"{""reason"":""West Coast Residents matches West region Technology account""}"
26,38,23,TARGETED_BY,0.90,"{""reason"":""West Coast Residents matches West region Technology account""}"
27,39,23,TARGETED_BY,0.83,"{""reason"":""West Coast Residents matches West region Healthcare account""}"
28,35,23,TARGETED_BY,0.82,"{""reason"":""West Coast Residents matches West region Financial Services account""}"
29,55,23,TARGETED_BY,0.89,"{""reason"":""West Coast Residents matches West region Technology account""}"
30,53,23,TARGETED_BY,0.78,"{""reason"":""West Coast Residents matches West region Education account""}"
31,26,67,BELONGS_TO,1.0,"{""relationship"":""Apex Dynamics is in Technology industry""}"
32,32,67,BELONGS_TO,1.0,"{""relationship"":""NovaTech Solutions is in Technology industry""}"
33,38,67,BELONGS_TO,1.0,"{""relationship"":""CloudSphere Technologies is in Technology industry""}"
34,44,67,BELONGS_TO,1.0,"{""relationship"":""DataStream Analytics is in Technology industry""}"
35,49,67,BELONGS_TO,1.0,"{""relationship"":""Nexus Tech Innovations is in Technology industry""}"
36,55,67,BELONGS_TO,1.0,"{""relationship"":""Quantum Computing Labs is in Technology industry""}"
37,27,68,BELONGS_TO,1.0,"{""relationship"":""Meridian Health Systems is in Healthcare industry""}"
38,33,68,BELONGS_TO,1.0,"{""relationship"":""Pinnacle Healthcare Partners is in Healthcare industry""}"
39,39,68,BELONGS_TO,1.0,"{""relationship"":""Pacific Health Network is in Healthcare industry""}"
40,45,68,BELONGS_TO,1.0,"{""relationship"":""LifeBridge Medical Group is in Healthcare industry""}"
41,50,68,BELONGS_TO,1.0,"{""relationship"":""Valley Health Clinic is in Healthcare industry""}"
42,28,69,BELONGS_TO,1.0,"{""relationship"":""Titan Financial Group is in Financial Services industry""}"
43,35,69,BELONGS_TO,1.0,"{""relationship"":""Redwood Capital Advisors is in Financial Services industry""}"
44,40,69,BELONGS_TO,1.0,"{""relationship"":""Atlas Financial Services is in Financial Services industry""}"
45,46,69,BELONGS_TO,1.0,"{""relationship"":""Sterling Wealth Management is in Financial Services industry""}"
46,51,69,BELONGS_TO,1.0,"{""relationship"":""Keystone Bank Corp is in Financial Services industry""}"
47,29,70,BELONGS_TO,1.0,"{""relationship"":""Forge Manufacturing Co is in Manufacturing industry""}"
48,34,70,BELONGS_TO,1.0,"{""relationship"":""Ironclad Industries is in Manufacturing industry""}"
49,41,70,BELONGS_TO,1.0,"{""relationship"":""Precision Parts Manufacturing is in Manufacturing industry""}"
50,47,70,BELONGS_TO,1.0,"{""relationship"":""Cornerstone Manufacturing is in Manufacturing industry""}"
51,52,70,BELONGS_TO,1.0,"{""relationship"":""Heritage Craft Manufacturing is in Manufacturing industry""}"
52,30,71,BELONGS_TO,1.0,"{""relationship"":""Summit Retail Holdings is in Retail industry""}"
53,36,71,BELONGS_TO,1.0,"{""relationship"":""Vanguard Retail Group is in Retail industry""}"
54,42,71,BELONGS_TO,1.0,"{""relationship"":""Urban Style Retail is in Retail industry""}"
55,48,71,BELONGS_TO,1.0,"{""relationship"":""Evergreen Market Co is in Retail industry""}"
56,54,71,BELONGS_TO,1.0,"{""relationship"":""Omni Retail Solutions is in Retail industry""}"
57,31,72,BELONGS_TO,1.0,"{""relationship"":""Brightpath Education is in Education industry""}"
58,37,72,BELONGS_TO,1.0,"{""relationship"":""Horizon Learning Corp is in Education industry""}"
59,43,72,BELONGS_TO,1.0,"{""relationship"":""Catalina University Systems is in Education industry""}"
60,53,72,BELONGS_TO,1.0,"{""relationship"":""BookWise EdTech is in Education industry""}"
61,73,26,OWNS,1.0,"{""relationship"":""rachel.sales owns Apex Dynamics account""}"
62,74,27,OWNS,1.0,"{""relationship"":""david.hunter owns Meridian Health account""}"
63,73,28,OWNS,1.0,"{""relationship"":""rachel.sales owns Titan Financial account""}"
64,75,29,OWNS,1.0,"{""relationship"":""carlos.rivera owns Forge Manufacturing account""}"
65,76,30,OWNS,1.0,"{""relationship"":""sarah.connors owns Summit Retail account""}"
66,74,31,OWNS,1.0,"{""relationship"":""david.hunter owns Brightpath Education account""}"
67,75,32,OWNS,1.0,"{""relationship"":""carlos.rivera owns NovaTech Solutions account""}"
68,73,33,OWNS,1.0,"{""relationship"":""rachel.sales owns Pinnacle Healthcare account""}"
69,76,34,OWNS,1.0,"{""relationship"":""sarah.connors owns Ironclad Industries account""}"
70,74,35,OWNS,1.0,"{""relationship"":""david.hunter owns Redwood Capital account""}"
71,77,1,OWNS,1.0,"{""relationship"":""sarah.marketing created Spring Fashion Launch""}"
72,78,2,OWNS,1.0,"{""relationship"":""john.campaigns created Q1 Email Nurture Series""}"
73,79,4,OWNS,1.0,"{""relationship"":""michael.brand created Brand Awareness Tech Sector""}"
74,79,9,OWNS,1.0,"{""relationship"":""michael.brand created LinkedIn B2B Lead Gen""}"
75,80,6,OWNS,1.0,"{""relationship"":""emily.digital created New Product Teaser""}"
76,78,19,OWNS,1.0,"{""relationship"":""john.campaigns created Webinar Series Promotion""}"
77,79,23,OWNS,1.0,"{""relationship"":""michael.brand created New Market Expansion West Coast""}"
78,2,56,USES_CHANNEL,1.0,"{""relationship"":""Q1 Email Nurture Series uses email channel""}"
79,4,58,USES_CHANNEL,1.0,"{""relationship"":""Brand Awareness Tech Sector uses search channel""}"
80,9,57,USES_CHANNEL,1.0,"{""relationship"":""LinkedIn B2B Lead Gen uses social channel""}"
81,19,56,USES_CHANNEL,1.0,"{""relationship"":""Webinar Series Promotion uses email channel""}"
82,23,59,USES_CHANNEL,1.0,"{""relationship"":""New Market Expansion uses display channel""}"
83,1,57,USES_CHANNEL,1.0,"{""relationship"":""Spring Fashion Launch uses social channel""}"
84,3,59,USES_CHANNEL,1.0,"{""relationship"":""Summer Sale Extravaganza uses display channel""}"
85,5,57,USES_CHANNEL,1.0,"{""relationship"":""Black Friday Mega Sale uses social channel""}"
86,6,57,USES_CHANNEL,1.0,"{""relationship"":""New Product Teaser uses social channel""}"
87,7,56,USES_CHANNEL,1.0,"{""relationship"":""Customer Retention Q2 uses email channel""}"
88,8,59,USES_CHANNEL,1.0,"{""relationship"":""Holiday Gift Guide uses display channel""}"
89,10,58,USES_CHANNEL,1.0,"{""relationship"":""Back to School uses search channel""}"
90,11,57,USES_CHANNEL,1.0,"{""relationship"":""Influencer Partnership uses social channel""}"
91,12,56,USES_CHANNEL,1.0,"{""relationship"":""Re-engagement Email Blast uses email channel""}"
92,13,56,USES_CHANNEL,1.0,"{""relationship"":""Premium Membership Launch uses email channel""}"
93,14,59,USES_CHANNEL,1.0,"{""relationship"":""Valentine Day Special uses display channel""}"
94,15,58,USES_CHANNEL,1.0,"{""relationship"":""Mobile App Download uses search channel""}"
95,16,57,USES_CHANNEL,1.0,"{""relationship"":""Sustainability Initiative uses social channel""}"
96,17,56,USES_CHANNEL,1.0,"{""relationship"":""Flash Sale 48 Hours uses email channel""}"
97,18,59,USES_CHANNEL,1.0,"{""relationship"":""Year-End Clearance uses display channel""}"
98,20,57,USES_CHANNEL,1.0,"{""relationship"":""Customer Testimonials uses social channel""}"
99,21,58,USES_CHANNEL,1.0,"{""relationship"":""Cyber Monday Deals uses search channel""}"
100,22,56,USES_CHANNEL,1.0,"{""relationship"":""Referral Program Launch uses email channel""}"
101,24,57,USES_CHANNEL,1.0,"{""relationship"":""Product Demo Video Series uses social channel""}"
102,25,56,USES_CHANNEL,1.0,"{""relationship"":""Anniversary Sale uses email channel""}"
103,4,61,TARGETS_SEGMENT,1.0,"{""relationship"":""Brand Awareness Tech Sector targets Tech Professionals 30-55""}"
104,9,62,TARGETS_SEGMENT,1.0,"{""relationship"":""LinkedIn B2B Lead Gen targets Enterprise Decision Makers""}"
105,2,60,TARGETS_SEGMENT,1.0,"{""relationship"":""Q1 Email Nurture Series targets B2B Decision Makers""}"
106,19,63,TARGETS_SEGMENT,1.0,"{""relationship"":""Webinar Series Promotion targets B2B Professionals""}"
107,20,64,TARGETS_SEGMENT,1.0,"{""relationship"":""Customer Testimonials targets Prospective Customers""}"
108,7,65,TARGETS_SEGMENT,1.0,"{""relationship"":""Customer Retention Q2 targets Existing Customers""}"
109,23,66,TARGETS_SEGMENT,1.0,"{""relationship"":""New Market Expansion targets West Coast Residents""}"
110,26,62,MATCHES_SEGMENT,0.95,"{""reason"":""Strategic Enterprise Technology matches Enterprise Decision Makers""}"
111,28,62,MATCHES_SEGMENT,0.94,"{""reason"":""Strategic Enterprise Financial Services matches Enterprise Decision Makers""}"
112,30,62,MATCHES_SEGMENT,0.93,"{""reason"":""Strategic Enterprise Retail matches Enterprise Decision Makers""}"
113,33,62,MATCHES_SEGMENT,0.92,"{""reason"":""Strategic Enterprise Healthcare matches Enterprise Decision Makers""}"
114,34,62,MATCHES_SEGMENT,0.91,"{""reason"":""Strategic Enterprise Manufacturing matches Enterprise Decision Makers""}"
115,38,62,MATCHES_SEGMENT,0.95,"{""reason"":""Strategic Enterprise Technology matches Enterprise Decision Makers""}"
116,40,62,MATCHES_SEGMENT,0.94,"{""reason"":""Strategic Enterprise Financial Services matches Enterprise Decision Makers""}"
117,54,62,MATCHES_SEGMENT,0.93,"{""reason"":""Strategic Enterprise Retail matches Enterprise Decision Makers""}"
118,55,62,MATCHES_SEGMENT,0.94,"{""reason"":""Strategic Enterprise Technology matches Enterprise Decision Makers""}"
119,26,61,MATCHES_SEGMENT,0.90,"{""reason"":""Technology account matches Tech Professionals 30-55""}"
120,32,61,MATCHES_SEGMENT,0.88,"{""reason"":""Technology account matches Tech Professionals 30-55""}"
121,38,61,MATCHES_SEGMENT,0.92,"{""reason"":""Technology account matches Tech Professionals 30-55""}"
122,44,61,MATCHES_SEGMENT,0.82,"{""reason"":""Technology account matches Tech Professionals 30-55""}"
123,49,61,MATCHES_SEGMENT,0.86,"{""reason"":""Technology account matches Tech Professionals 30-55""}"
124,55,61,MATCHES_SEGMENT,0.91,"{""reason"":""Technology account matches Tech Professionals 30-55""}"
125,28,60,MATCHES_SEGMENT,0.90,"{""reason"":""Enterprise Financial Services matches B2B Decision Makers""}"
126,34,60,MATCHES_SEGMENT,0.88,"{""reason"":""Enterprise Manufacturing matches B2B Decision Makers""}"
127,40,60,MATCHES_SEGMENT,0.92,"{""reason"":""Enterprise Financial Services matches B2B Decision Makers""}"
128,30,66,MATCHES_SEGMENT,0.88,"{""reason"":""West region Retail matches West Coast Residents""}"
129,38,66,MATCHES_SEGMENT,0.90,"{""reason"":""West region Technology matches West Coast Residents""}"
130,39,66,MATCHES_SEGMENT,0.83,"{""reason"":""West region Healthcare matches West Coast Residents""}"
131,55,66,MATCHES_SEGMENT,0.89,"{""reason"":""West region Technology matches West Coast Residents""}"
132,85,19,SOURCED_FROM,0.80,"{""reason"":""Inbound leads may originate from Webinar Series Promotion""}"
133,85,4,SOURCED_FROM,0.75,"{""reason"":""Inbound leads may be influenced by Brand Awareness Tech Sector""}"
134,89,19,SOURCED_FROM,0.90,"{""reason"":""Webinar leads directly sourced from Webinar Series Promotion""}"
135,85,9,SOURCED_FROM,0.78,"{""reason"":""Inbound leads may be generated by LinkedIn B2B Lead Gen""}"
136,87,22,SOURCED_FROM,0.85,"{""reason"":""Referral leads may be influenced by Referral Program Launch""}"
